"LSOA11CD","OVERALL_RANK","INCOME_RANK","EMPLOYMENT_RANK","EDUCATION_RANK","HEALTH_RANK","CRIME_RANK","HOUSING_RANK","LIVING_RANK","QUINTILE","DECILE","NORMALISED_RANK"
"E01019422",22748,21115,18931,16676,23698,24389,17276,19232,4,7,0.6926074777737181829253440506637437583729
"E01019432",15410,11319,11321,9254,17344,28879,22205,21177,3,5,0.4691876750700280112044817927170868347339
"E01019458",11931,11881,12061,11579,14012,9333,30504,3775,2,4,0.3632626963829009864815491413956887102667
"E01019459",6901,4912,4795,4513,7256,15721,24839,17022,2,3,0.2101144805748386311046157593472171477287
"E01019463",3792,2265,2596,1435,4196,20467,25363,26995,1,2,0.1154548776032151991231275118743149433687
"E01019408",18547,19365,18235,13136,15187,21629,20247,10481,3,6,0.5646997929606625258799171842650103519669
"E01019409",28705,26878,20162,23329,23234,31971,29827,25565,5,9,0.8739800267933260260625989526245280720984
"E01019412",29529,27779,26603,25478,27708,22951,16854,28369,5,9,0.8990683229813664596273291925465838509317
"E01019413",30207,29445,28120,23287,27605,30814,13936,29586,5,10,0.9197113628059919620021921812203142126416
"E01019416",26787,25846,25632,17801,23935,24704,23705,17211,5,9,0.8155827548410668615272195834855681402996
"E01019407",13945,15607,12631,21612,15223,11581,30006,1845,3,5,0.4245828766289124345390330045061502862014
"E01019415",21052,19760,19173,22317,19193,20746,23788,8270,4,7,0.6409694312507611740348313238338813786384
"E01019417",11611,9563,13217,5377,13393,17939,18659,11111,2,4,0.353519668737060041407867494824016563147
"E01019410",25744,24693,28034,22148,24566,26689,8009,20027,4,8,0.7838265741079040311776884666910242357813
"E01019411",19596,18280,17126,13483,14431,22698,18639,25083,3,6,0.5966386554621848739495798319327731092437
"E01019418",20465,17701,20713,11954,22009,22576,14145,21776,4,7,0.6230970649129216904152965534039702837657
"E01019447",28179,25113,25184,24644,24745,29677,28024,13754,5,9,0.8579649251004749725977347460723419802704
"E01019449",25832,24806,24829,21883,24821,28492,11306,18378,4,8,0.7865059067105102910729509194982340762392
"E01019431",11193,10395,9897,4583,12699,15313,25157,15190,2,4,0.3407928388746803069053708439897698209719
